#VARIABLE,SUBVAR,NAME,SHORTNAME,COMMENT,MAXIMUM,MINIMUM,ACCURACY,ELECCHARGE,MOLAREQUIV,CASREF,MEASMETHOD,MAPVAR,VARTRACE,CATEGORY1,CATEGORY2,DBVER22,DATECREATE,TIMECREATE,USERCREATE,DATEMOD,TIMEMOD,USERMOD
201,0,Stream Water Level at Sample Time,Level     (Metres),,250,-0.000001,3,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
210,0,Field Acidity/Alkalinity,Field pH,,11,3,1,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
215,0,Field Dissolved Oxygen,Field DO,,23.1,-0.000001,1,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,14/03/2013,1637,SPETCHEL
216,0,Field Dissolved Oxygen (%),Field DO %,,1,-0.00001,3,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
220,0,Gauged Stage,Gauged Stage (m),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
221,0,Gauged Discharge,Gauged Flow (Ml/d),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
222,0,Percent Deviation from Rating Table,% Deviation from RT,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
223,0,Rating Table Number,Rating Table Number,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
225,0,Gauged Stage,Gauged Stage (m),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
239,0,Flow Velocity,Velocity  (M/s),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
240,0,Flow Velocity,Velocity  (M/s),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
250,0,X-Section Area,X-Area (Sq m.),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
280,0,Stream Water Level,Level     (Metres),,400,-1.1,3,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
300,0,Logger Battery Voltage,Logger Voltage,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
310,0,Modem Battery Voltage,Modem Voltage,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
